102200388,7,8,6,7,9
102200398,5,7,8,9,5
102200030,9,8,8,5,7
102200334,3,4,5,7,8
102200222,9,5,6,7,4
102209393,7,7,4,8,8
107190223,8,5,8,8,6         
101200122,7,6,7,6,7                	
105200092,6,9,6,6,8               	
107200140,5,10,5,5,6              
107200142,8,8,8,8,8                 
107200146,9,7,9,9,9                
107200149,8,5,8,8,5                 
103200222,4,5,6,5,4                         
103200228,9,8,9,9,10               
103200229,5,6,5,4,7               
103200231,8,8,6,8,6                
118200175,4,5,5,4,6              
118200178,6,7,8,4,5                
102200017,7,4,5,3,6                               
102200019,7,5,7,9,7                                
102200028,4,6,4,4,5                 
102200031,8,9,8,8,7 
102222222,7,8,5,9,8
